Symbol,Name,Sector,Sector Ticker,Sector ETF Ticker,,,,,,
FB,"Facebook, Inc.",Information Technology,^SP500-45,IYW,,- 'FB',,,,
FBHS,Fortune Brands Home & Security,Industrials,^SP500-20,IYJ,,- 'FBHS',,,,
FCX,Freeport-McMoRan Inc.,Materials,^SP500-15,IYM,,- 'FCX',,,,
FDX,FedEx Corporation,Industrials,^SP500-20,IYJ,,- 'FDX',,,,
FE,FirstEnergy Corp,Utilities,^SP500-55,IDU,,- 'FE',,,,
FFIV,F5 Networks,Information Technology,^SP500-45,IYW,,- 'FFIV',,,,
FIS,Fidelity National Information Services,Information Technology,^SP500-45,IYW,,- 'FIS',,,,
FISV,Fiserv Inc,Information Technology,^SP500-45,IYW,,- 'FISV',,,,
FITB,Fifth Third Bancorp,Financials,^SP500-40,IYF,,- 'FITB',,,,
FL,Foot Locker Inc,Consumer Discretionary,^SP500-25,XLY,,- 'FL',,,,
FLIR,FLIR Systems,Information Technology,^SP500-45,IYW,,- 'FLIR',,,,
FLR,Fluor Corp.,Industrials,^SP500-20,IYJ,,- 'FLR',,,,
FLS,Flowserve Corporation,Industrials,^SP500-20,IYJ,,- 'FLS',,,,
FMC,FMC Corporation,Materials,^SP500-15,IYM,,- 'FMC',,,,
FOX,Fox Corporation (Class B),Communication Services,^SP500-50,IYZ,,- 'FOX',,,,
FOXA,Fox Corporation (Class A),Communication Services,^SP500-50,IYZ,,- 'FOXA',,,,
FRT,Federal Realty Investment Trust,Real Estate,^SP500-60,IYR,,- 'FRT',,,,
FTI,TechnipFMC,Energy,^SP500-10,IYE,,- 'FTI',,,,
FTV,Fortive Corp,Industrials,^SP500-20,IYJ,,- 'FTV',,,,
GD,General Dynamics,Industrials,^SP500-20,IYJ,,- 'GD',,,,
GE,General Electric,Industrials,^SP500-20,IYJ,,- 'GE',,,,
GILD,Gilead Sciences,Health Care,^SP500-35,IYH,,- 'GILD',,,,
GIS,General Mills,Consumer Staples,^SP500-30,VDC,,- 'GIS',,,,
GLW,Corning Inc.,Information Technology,^SP500-45,IYW,,- 'GLW',,,,
GM,General Motors,Consumer Discretionary,^SP500-25,XLY,,- 'GM',,,,
GOOG,Alphabet Inc Class C,Information Technology,^SP500-45,IYW,,- 'GOOG',,,,
GOOGL,Alphabet Inc Class A,Information Technology,^SP500-45,IYW,,- 'GOOGL',,,,
GPC,Genuine Parts,Consumer Discretionary,^SP500-25,XLY,,- 'GPC',,,,
GPN,Global Payments Inc.,Information Technology,^SP500-45,IYW,,- 'GPN',,,,
GPS,Gap Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'GPS',,,,
GRMN,Garmin Ltd.,Consumer Discretionary,^SP500-25,XLY,,- 'GRMN',,,,
GS,Goldman Sachs Group,Financials,^SP500-40,IYF,,- 'GS',,,,
GT,Goodyear Tire & Rubber,Consumer Discretionary,^SP500-25,XLY,,- 'GT',,,,
GWW,Grainger (W.W.) Inc.,Industrials,^SP500-20,IYJ,,- 'GWW',,,,
HAL,Halliburton Co.,Energy,^SP500-10,IYE,,- 'HAL',,,,
HAS,Hasbro Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'HAS',,,,
HBAN,Huntington Bancshares,Financials,^SP500-40,IYF,,- 'HBAN',,,,
HBI,Hanesbrands Inc,Consumer Discretionary,^SP500-25,XLY,,- 'HBI',,,,
HCA,HCA Holdings,Health Care,^SP500-35,IYH,,- 'HCA',,,,
HD,Home Depot,Consumer Discretionary,^SP500-25,XLY,,- 'HD',,,,
HES,Hess Corporation,Energy,^SP500-10,IYE,,- 'HES',,,,
HIG,Hartford Financial Svc.Gp.,Financials,^SP500-40,IYF,,- 'HIG',,,,
HII,Huntington Ingalls Industries,Industrials,^SP500-20,IYJ,,- 'HII',,,,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,^SP500-25,XLY,,- 'HLT',,,,
HOG,Harley-Davidson,Consumer Discretionary,^SP500-25,XLY,,- 'HOG',,,,
HOLX,Hologic,Health Care,^SP500-35,IYH,,- 'HOLX',,,,
HON,Honeywell Int'l Inc.,Industrials,^SP500-20,IYJ,,- 'HON',,,,
HP,Helmerich & Payne,Energy,^SP500-10,IYE,,- 'HP',,,,
HPE,Hewlett Packard Enterprise,Information Technology,^SP500-45,IYW,,- 'HPE',,,,
HPQ,HP Inc.,Information Technology,^SP500-45,IYW,,- 'HPQ',,,,
HRB,Block H&R,Financials,^SP500-40,IYF,,- 'HRB',,,,
HRL,Hormel Foods Corp.,Consumer Staples,^SP500-30,VDC,,- 'HRL',,,,
HSIC,Henry Schein,Health Care,^SP500-35,IYH,,- 'HSIC',,,,
HST,Host Hotels & Resorts,Real Estate,^SP500-60,IYR,,- 'HST',,,,
HSY,The Hershey Company,Consumer Staples,^SP500-30,VDC,,- 'HSY',,,,
HUM,Humana Inc.,Health Care,^SP500-35,IYH,,- 'HUM',,,,
IBM,International Business Machines,Information Technology,^SP500-45,IYW,,- 'IBM',,,,
ICE,Intercontinental Exchange,Financials,^SP500-40,IYF,,- 'ICE',,,,
IDXX,IDEXX Laboratories,Health Care,^SP500-35,IYH,,- 'IDXX',,,,
IFF,Intl Flavors & Fragrances,Materials,^SP500-15,IYM,,- 'IFF',,,,
ILMN,Illumina Inc,Health Care,^SP500-35,IYH,,- 'ILMN',,,,
INCY,Incyte,Health Care,^SP500-35,IYH,,- 'INCY',,,,
INFO,IHS Markit Ltd.,Industrials,^SP500-20,IYJ,,- 'INFO',,,,
INTC,Intel Corp.,Information Technology,^SP500-45,IYW,,- 'INTC',,,,
INTU,Intuit Inc.,Information Technology,^SP500-45,IYW,,- 'INTU',,,,
IP,International Paper,Materials,^SP500-15,IYM,,- 'IP',,,,
IPG,Interpublic Group,Consumer Discretionary,^SP500-25,XLY,,- 'IPG',,,,
IQV,IQVIA Holdings Inc.,Health Care,^SP500-35,IYH,,- 'IQV',,,,
IR,Ingersoll-Rand PLC,Industrials,^SP500-20,IYJ,,- 'IR',,,,
IRM,Iron Mountain Incorporated,Real Estate,^SP500-60,IYR,,- 'IRM',,,,
ISRG,Intuitive Surgical Inc.,Health Care,^SP500-35,IYH,,- 'ISRG',,,,
IT,Gartner Inc,Information Technology,^SP500-45,IYW,,- 'IT',,,,
ITW,Illinois Tool Works,Industrials,^SP500-20,IYJ,,- 'ITW',,,,
IVZ,Invesco Ltd.,Financials,^SP500-40,IYF,,- 'IVZ',,,,
JBHT,J. B. Hunt Transport Services,Industrials,^SP500-20,IYJ,,- 'JBHT',,,,
JCI,Johnson Controls International,Industrials,^SP500-20,IYJ,,- 'JCI',,,,
JD,JD.com,Consumer Discretionary,^SP500-25,XLY,,- 'JD',,,,
JNJ,Johnson & Johnson,Health Care,^SP500-35,IYH,,- 'JNJ',,,,
